Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
975,1868.13,2154.7139352201084,2441.2978704402167,2727.881805660325,3014.4657408804333,3301.0496761005415,3587.6336113206494,3874.2175465407577,4160.8014817608655,4447.385416980975,4733.969352201082,5020.553287421191,5307.137222641299,5593.721157861407,5880.305093081515,6166.8890283016235,6453.472963521732,6740.05689874184,7026.640833961948,7313.224769182057,7599.808704402165,7886.392639622273,8172.9765748423815,8459.560510062489,8746.144445282596,9032.728380502705,9319.312315722815,9605.896250942922,9892.48018616303,10179.06412138314,10465.648056603248,10752.231991823355,11038.815927043463,11325.39986226357,11611.983797483681,11898.567732703788,12185.151667923896,12471.735603144003,12758.319538364114,13044.903473584222,13331.487408804329,13618.071344024436,13904.655279244547,14191.239214464655,14477.823149684762,14764.40708490487,15050.99102012498,15337.574955345088,15624.158890565195,15910.742825785303
1042,1659.629939549272,1808.922555978395,1958.2151724075177,2107.5077888366404,2256.8004052657634,2406.0930216948864,2555.3856381240093,2704.678254553132,2853.970870982255,3003.263487411378,3152.5561038405003,3301.8487202696233,3451.1413366987463,3600.4339531278692,3749.7265695569918,3899.0191859861147,4048.3118024152377,4197.604418844361,4346.897035273483,4496.189651702606,4645.482268131729,4794.774884560852,4944.067500989975,5093.360117419097,5242.652733848221,5391.945350277343,5541.237966706467,5690.530583135589,5839.823199564711,5989.115815993835,6138.408432422957,6287.701048852081,6436.993665281203,6586.286281710327,6735.578898139449,6884.871514568573,7034.164130997695,7183.456747426817,7332.749363855941,7482.041980285063,7631.334596714187,7780.627213143309,7929.919829572433,8079.212446001555,8228.505062430677,8377.7976788598,8527.090295288923,8676.382911718047,8825.675528147169,8974.968144576293
258,2330.667,2489.6019152201084,2648.5368304402164,2807.471745660325,2966.4066608804333,3125.3415761005417,3284.2764913206497,3443.211406540758,3602.146321760866,3761.0812369809746,3920.016152201083,4078.9510674211915,4237.885982641299,4396.8208978614075,4555.755813081516,4714.690728301624,4873.625643521733,5032.560558741841,5191.49547396195,5350.430389182058,5509.365304402167,5668.300219622274,5827.235134842383,5986.170050062491,6145.104965282599,6304.039880502707,6462.9747957228155,6621.909710942924,6780.844626163032,6939.779541383141,7098.714456603249,7257.649371823358,7416.584287043466,7575.519202263575,7734.454117483683,7893.389032703792,8052.323947923898,8211.258863144007,8370.193778364115,8529.128693584224,8688.063608804332,8846.99852402444,9005.933439244549,9164.868354464657,9323.803269684766,9482.738184904874,9641.673100124983,9800.608015345091,9959.542930565198,10118.477845785306
251,13014.263939549273,13333.657760758288,13653.051581967302,13972.445403176316,14291.83922438533,14611.233045594347,14930.62686680336,15250.020688012375,15569.41450922139,15888.808330430404,16208.202151639418,16527.595972848434,16846.98979405745,17166.383615266463,17485.777436475477,17805.17125768449,18124.565078893505,18443.95890010252,18763.352721311534,19082.74654252055,19402.140363729563,19721.534184938577,20040.928006147595,20360.32182735661,20679.715648565623,20999.109469774638,21318.503290983652,21637.897112192666,21957.29093340168,22276.684754610695,22596.07857581971,22915.472397028723,23234.866218237737,23554.26003944675,23873.653860655766,24193.04768186478,24512.441503073795,24831.83532428281,25151.229145491823,25470.622966700837,25790.01678790985,26109.410609118866,26428.80443032788,26748.198251536895,27067.592072745912,27386.985893954927,27706.37971516394,28025.773536372955,28345.16735758197,28664.561178790984
997,2194.094939549272,2364.670195978395,2535.245452407518,2705.8207088366407,2876.3959652657636,3046.9712216948865,3217.546478124009,3388.1217345531322,3558.6969909822546,3729.272247411378,3899.8475038405004,4070.4227602696237,4240.998016698746,4411.5732731278695,4582.148529556992,4752.723785986114,4923.299042415238,5093.874298844361,5264.449555273483,5435.024811702606,5605.600068131729,5776.1753245608525,5946.750580989975,6117.325837419097,6287.901093848221,6458.476350277344,6629.0516067064655,6799.626863135589,6970.202119564712,7140.777375993835,7311.352632422957,7481.92788885208,7652.503145281204,7823.078401710325,7993.6536581394485,8164.228914568572,8334.804170997695,8505.379427426817,8675.95468385594,8846.529940285063,9017.105196714187,9187.680453143308,9358.255709572431,9528.830966001555,9699.406222430678,9869.9814788598,10040.556735288923,10211.131991718046,10381.707248147168,10552.282504576291
332,947.3429395492719,1083.2336759783948,1219.1244124075176,1355.0151488366405,1490.9058852657633,1626.7966216948862,1762.687358124009,1898.578094553132,2034.4688309822548,2170.3595674113776,2306.2503038405002,2442.1410402696233,2578.0317766987464,2713.922513127869,2849.8132495569917,2985.7039859861147,3121.594722415238,3257.4854588443604,3393.376195273483,3529.2669317026066,3665.157668131729,3801.048404560852,3936.9391409899745,4072.829877419098,4208.720613848221,4344.611350277343,4480.502086706466,4616.392823135589,4752.283559564712,4888.174295993835,5024.065032422957,5159.955768852081,5295.8465052812035,5431.737241710326,5567.627978139449,5703.518714568572,5839.409450997695,5975.3001874268175,6111.190923855941,6247.081660285064,6382.972396714186,6518.863133143309,6654.7538695724315,6790.644606001555,6926.535342430678,7062.4260788598,7198.316815288924,7334.2075517180465,7470.098288147169,7605.989024576292
469,6397.886939549271,6703.061900758285,7008.2368619673,7313.411823176315,7618.586784385329,7923.761745594344,8228.936706803359,8534.111668012374,8839.286629221388,9144.461590430401,9449.636551639416,9754.811512848431,10059.986474057445,10365.16143526646,10670.336396475475,10975.511357684489,11280.686318893504,11585.86128010252,11891.036241311533,12196.211202520548,12501.386163729563,12806.561124938577,13111.736086147592,13416.911047356607,13722.08600856562,14027.260969774634,14332.435930983649,14637.610892192664,14942.78585340168,15247.960814610693,15553.135775819708,15858.310737028722,16163.485698237737,16468.660659446752,16773.835620655766,17079.01058186478,17384.185543073792,17689.36050428281,17994.535465491826,18299.71042670084,18604.885387909853,18910.060349118867,19215.23531032788,19520.410271536897,19825.585232745914,20130.760193954928,20435.93515516394,20741.110116372955,21046.285077581968,21351.460038790985
634,1986.012,2222.730835220108,2459.4496704402163,2696.1685056603246,2932.887340880433,3169.6061761005412,3406.3250113206495,3643.043846540758,3879.762681760866,4116.481516980974,4353.200352201083,4589.919187421191,4826.638022641299,5063.356857861408,5300.075693081516,5536.794528301624,5773.513363521733,6010.232198741841,6246.951033961948,6483.669869182057,6720.388704402165,6957.107539622273,7193.8263748423815,7430.54521006249,7667.264045282598,7903.982880502706,8140.701715722815,8377.420550942923,8614.139386163031,8850.85822138314,9087.577056603248,9324.295891823356,9561.014727043465,9797.733562263573,10034.452397483681,10271.17123270379,10507.890067923898,10744.608903144006,10981.327738364114,11218.046573584223,11454.765408804331,11691.48424402444,11928.203079244548,12164.921914464656,12401.640749684764,12638.359584904872,12875.07842012498,13111.797255345089,13348.516090565197,13585.234925785306
705,3115.172939549272,3357.960091198503,3600.7472428477345,3843.5343944969654,4086.321546146197,4329.108697795427,4571.895849444659,4814.68300109389,5057.470152743122,5300.257304392353,5543.0444560415835,5785.831607690815,6028.618759340046,6271.405910989277,6514.193062638508,6756.98021428774,6999.76736593697,7242.554517586202,7485.341669235433,7728.1288208846645,7970.915972533895,8213.703124183126,8456.490275832359,8699.27742748159,8942.06457913082,9184.85173078005,9427.638882429283,9670.426034078513,9913.213185727745,10156.000337376976,10398.787489026206,10641.574640675437,10884.36179232467,11127.148943973902,11369.936095623132,11612.723247272363,11855.510398921593,12098.297550570824,12341.084702220058,12583.871853869288,12826.659005518519,13069.44615716775,13312.23330881698,13555.02046046621,13797.807612115444,14040.594763764675,14283.381915413906,14526.169067063136,14768.956218712367,15011.7433703616
1061,3042.954,3230.5489504402167,3418.1439008804336,3605.73885132065,3793.3338017608667,3980.928752201083,4168.5237026413,4356.118653081517,4543.713603521734,4731.30855396195,4918.903504402167,5106.498454842384,5294.0934052826,5481.688355722816,5669.283306163034,5856.87825660325,6044.473207043466,6232.068157483683,6419.6631079239,6607.258058364116,6794.853008804333,6982.44795924455,7170.042909684766,7357.637860124982,7545.2328105651995,7732.827761005416,7920.422711445632,8108.0176618858495,8295.612612326066,8483.207562766282,8670.8025132065,8858.397463646716,9045.992414086932,9233.58736452715,9421.182314967366,9608.777265407582,9796.372215847798,9983.967166288016,10171.562116728232,10359.157067168448,10546.752017608665,10734.346968048882,10921.941918489098,11109.536868929315,11297.131819369532,11484.726769809748,11672.321720249964,11859.916670690181,12047.511621130398,12235.106571570614
