Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
867,325.9649395492719,600.1508748976295,874.3368102459871,1148.5227455943445,1422.7086809427024,1696.8946162910597,1971.0805516394175,2245.266486987775,2519.4524223361327,2793.6383576844905,3067.824293032848,3342.0102283812053,3616.196163729563,3890.382099077921,4164.568034426278,4438.753969774635,4712.939905122993,4987.125840471351,5261.311775819709,5535.4977111680655,5809.683646516423,6083.869581864781,6358.055517213138,6632.241452561496,6906.427387909854,7180.6133232582115,7454.799258606569,7728.985193954926,8003.171129303284,8277.357064651642
72,1446.842939549272,1816.60393359781,2186.364927646348,2556.125921694886,2925.886915743424,3295.6479097919623,3665.4089038405,4035.169897889038,4404.930891937576,4774.691885986114,5144.4528800346525,5514.213874083191,5883.974868131729,6253.735862180267,6623.496856228805,6993.257850277343,7363.018844325881,7732.779838374419,8102.5408324229575,8472.301826471496,8842.062820520034,9211.823814568572,9581.58480861711,9951.345802665646,10321.106796714184,10690.867790762723,11060.62878481126,11430.389778859799,11800.150772908337,12169.911766956875
906,6250.034939549271,6719.644374897629,7189.253810245987,7658.863245594344,8128.472680942702,8598.08211629106,9067.691551639417,9537.300986987775,10006.910422336132,10476.519857684489,10946.129293032847,11415.738728381206,11885.348163729563,12354.95759907792,12824.567034426278,13294.176469774637,13763.785905122993,14233.39534047135,14703.004775819707,15172.614211168067,15642.223646516424,16111.833081864781,16581.442517213138,17051.051952561498,17520.661387909855,17990.27082325821,18459.88025860657,18929.48969395493,19399.099129303286,19868.708564651643
622,1953.335939549272,2133.703308230963,2314.0706769126537,2494.4380455943447,2674.8054142760357,2855.1727829577267,3035.5401516394177,3215.907520321108,3396.2748890027992,3576.6422576844902,3757.009626366181,3937.376995047872,4117.744363729563,4298.111732411254,4478.479101092944,4658.846469774635,4839.213838456326,5019.581207138017,5199.948575819708,5380.315944501399,5560.68331318309,5741.050681864781,5921.418050546472,6101.785419228163,6282.152787909854,6462.520156591545,6642.887525273236,6823.254893954927,7003.622262636616,7183.989631318307
915,3284.857469774636,3535.7555874488144,3786.6537051229934,4037.551822797172,4288.449940471351,4539.34805814553,4790.246175819709,5041.144293493888,5292.042411168066,5542.940528842245,5793.838646516424,6044.736764190602,6295.634881864781,6546.53299953896,6797.431117213138,7048.329234887318,7299.227352561496,7550.125470235675,7801.0235879098545,8051.921705584033,8302.81982325821,8553.71794093239,8804.616058606569,9055.514176280749,9306.412293954927,9557.310411629105,9808.208529303285,10059.106646977463,10310.004764651641,10560.902882325821
186,1791.352469774636,1974.593138182509,2157.833806590382,2341.0744749982555,2524.3151434061283,2707.5558118140016,2890.796480221875,3074.037148629748,3257.2778170376214,3440.5184854454947,3623.7591538533675,3806.9998222612403,3990.2404906691136,4173.481159076987,4356.72182748486,4539.962495892733,4723.203164300607,4906.44383270848,5089.684501116353,5272.925169524226,5456.165837932099,5639.406506339972,5822.647174747845,6005.887843155719,6189.128511563592,6372.369179971465,6555.6098483793385,6738.850516787212,6922.091185195084,7105.331853602957
393,987.012,1453.2435666666665,1919.4751333333331,2385.7066999999997,2851.938266666666,3318.1698333333325,3784.4013999999997,4250.632966666666,4716.8645333333325,5183.096099999999,5649.327666666665,6115.5592333333325,6581.790799999999,7048.022366666665,7514.2539333333325,7980.485499999999,8446.717066666666,8912.948633333332,9379.180199999999,9845.411766666666,10311.643333333332,10777.874899999999,11244.106466666666,11710.338033333332,12176.569599999999,12642.801166666666,13109.032733333332,13575.264299999999,14041.495866666666,14507.727433333332
830,2271.871469774636,2623.0737794823285,2974.276089190021,3325.4783988977133,3676.680708605406,4027.8830183130985,4379.085328020791,4730.287637728484,5081.489947436176,5432.692257143869,5783.894566851562,6135.096876559254,6486.299186266946,6837.501495974639,7188.703805682331,7539.906115390024,7891.1084250977165,8242.310734805409,8593.513044513102,8944.715354220794,9295.917663928487,9647.11997363618,9998.322283343872,10349.524593051565,10700.726902759257,11051.92921246695,11403.131522174643,11754.333831882335,12105.536141590028,12456.73845129772
291,3243.044939549272,3623.1693669311435,4003.2937943130146,4383.418221694887,4763.542649076758,5143.667076458629,5523.791503840501,5903.915931222371,6284.040358604243,6664.164785986115,7044.289213367985,7424.413640749857,7804.538068131729,8184.662495513599,8564.786922895471,8944.911350277343,9325.035777659214,9705.160205041086,10085.284632422958,10465.409059804828,10845.5334871867,11225.657914568572,11605.782341950442,11985.906769332314,12366.031196714186,12746.155624096056,13126.280051477928,13506.4044788598,13886.52890624167,14266.653333623542
977,1974.314939549272,2326.19323359781,2678.071527646348,3029.949821694886,3381.828115743424,3733.706409791962,4085.5847038405,4437.462997889038,4789.341291937576,5141.219585986114,5493.097880034652,5844.97617408319,6196.854468131728,6548.732762180266,6900.611056228804,7252.489350277342,7604.36764432588,7956.245938374418,8308.124232422957,8660.002526471493,9011.880820520033,9363.75911456857,9715.637408617109,10067.515702665645,10419.393996714185,10771.272290762721,11123.150584811261,11475.028878859797,11826.907172908337,12178.785466956873
